Student_ID,Name,Department,Semester,Gender,Subject,Total_Classes,Classes_Attended,Attendance_Percentage,Previous_Attendance_Percentage,Leaves_Taken,Internal_Marks,Distance_KM,Monthly_Attendance,Trend,Risk_Label
STU00006,Karthik Desai,Computer Science,3,Male,Operating Systems,54,46,85.19,82.61,4,64,11.1,85.19,stable,Low Risk
STU00006,Karthik Desai,Computer Science,3,Male,Computer Networks,55,43,78.18,80.04,7,56,11.1,78.18,stable,Low Risk
STU00007,Varun Kapoor,Mechanical,4,Male,Manufacturing Tech,47,44,93.62,83.18,2,70,10.1,93.62,improving,Low Risk
STU00007,Varun Kapoor,Mechanical,4,Male,Machine Design,55,46,83.64,81.65,3,67,10.1,83.64,improving,Low Risk
STU00007,Varun Kapoor,Mechanical,4,Male,Heat Transfer,59,52,88.14,76.77,5,62,10.1,88.14,improving,Low Risk
STU00007,Varun Kapoor,Mechanical,4,Male,Fluid Mechanics,48,42,87.5,85.15,5,77,10.1,87.5,improving,Low Risk
STU00007,Varun Kapoor,Mechanical,4,Male,Thermodynamics,48,39,81.25,72.46,4,73,10.1,81.25,improving,Low Risk
STU00008,Varun Kapoor,Electrical,6,Male,Power Electronics,50,37,74.0,78.01,6,65,7.3,74.0,stable,Medium Risk
STU00008,Varun Kapoor,Electrical,6,Male,Power Systems,46,36,78.26,78.48,6,50,7.3,78.26,stable,Low Risk
STU00008,Varun Kapoor,Electrical,6,Male,Control Systems,46,35,76.09,73.14,7,61,7.3,76.09,stable,Low Risk
STU00008,Varun Kapoor,Electrical,6,Male,Electrical Machines,60,45,75.0,85.84,6,61,7.3,75.0,stable,Low Risk
STU00009,Tanya Iyer,Computer Science,1,Female,AI & ML,63,53,84.13,69.96,2,55,2.5,84.13,improving,Low Risk
STU00009,Tanya Iyer,Computer Science,1,Female,DBMS,63,45,71.43,58.94,9,59,2.5,71.43,improving,Medium Risk
STU00009,Tanya Iyer,Computer Science,1,Female,Operating Systems,47,38,80.85,71.41,7,71,2.5,80.85,improving,Low Risk
STU00009,Tanya Iyer,Computer Science,1,Female,Computer Networks,59,47,79.66,70.03,4,56,2.5,79.66,improving,Low Risk
STU00010,Dev Rao,Computer Science,6,Male,Data Structures,57,35,61.4,55.34,8,45,26.2,61.4,improving,Medium Risk
STU00010,Dev Rao,Computer Science,6,Male,AI & ML,54,27,50.0,49.31,10,43,26.2,50.0,improving,Medium Risk
STU00010,Dev Rao,Computer Science,6,Male,Computer Networks,49,25,51.02,47.93,12,38,26.2,51.02,improving,High Risk
STU00010,Dev Rao,Computer Science,6,Male,Operating Systems,55,33,60.0,52.52,11,47,26.2,60.0,improving,Medium Risk
STU00010,Dev Rao,Computer Science,6,Male,DBMS,63,32,50.79,44.31,13,43,26.2,50.79,improving,High Risk
STU00011,Tanya Reddy,Civil,3,Female,Concrete Technology,60,35,58.33,56.42,9,39,13.6,58.33,stable,High Risk
STU00011,Tanya Reddy,Civil,3,Female,Surveying,54,31,57.41,62.29,12,37,13.6,57.41,stable,High Risk
STU00011,Tanya Reddy,Civil,3,Female,Geotechnical Engg,46,25,54.35,45.3,11,37,13.6,54.35,stable,High Risk
STU00011,Tanya Reddy,Civil,3,Female,Transportation Engg,60,33,55.0,58.21,9,48,13.6,55.0,stable,High Risk
STU00012,Rohan Pillai,Civil,7,Male,Geotechnical Engg,53,44,83.02,75.36,3,59,6.7,83.02,improving,Low Risk
STU00012,Rohan Pillai,Civil,7,Male,Structural Analysis,47,39,82.98,70.68,3,74,6.7,82.98,improving,Low Risk
STU00012,Rohan Pillai,Civil,7,Male,Surveying,57,51,89.47,84.12,3,64,6.7,89.47,improving,Low Risk
STU00012,Rohan Pillai,Civil,7,Male,Concrete Technology,60,53,88.33,76.25,4,66,6.7,88.33,improving,Low Risk
STU00013,Aryan Patel,Computer Science,5,Male,Data Structures,49,20,40.82,46.51,17,32,4.5,40.82,declining,High Risk
STU00013,Aryan Patel,Computer Science,5,Male,Computer Networks,47,19,40.43,48.51,14,46,4.5,40.43,declining,High Risk
STU00013,Aryan Patel,Computer Science,5,Male,DBMS,46,18,39.13,45.34,17,46,4.5,39.13,declining,High Risk
STU00013,Aryan Patel,Computer Science,5,Male,Operating Systems,59,24,40.68,49.04,16,36,4.5,40.68,declining,High Risk
STU00013,Aryan Patel,Computer Science,5,Male,AI & ML,45,19,42.22,50.31,15,24,4.5,42.22,declining,High Risk
STU00014,Aditya Chatterjee,Electronics,2,Male,Signals & Systems,64,40,62.5,68.61,8,48,9.1,62.5,declining,High Risk
STU00014,Aditya Chatterjee,Electronics,2,Male,Digital Electronics,49,28,57.14,63.52,10,37,9.1,57.14,declining,High Risk
STU00014,Aditya Chatterjee,Electronics,2,Male,Microprocessors,61,40,65.57,76.28,8,44,9.1,65.57,declining,High Risk
STU00014,Aditya Chatterjee,Electronics,2,Male,VLSI Design,45,32,71.11,77.0,6,42,9.1,71.11,declining,Medium Risk
STU00015,Tanya Rao,Information Technology,1,Female,Cyber Security,58,58,100.0,100.0,0,83,8.7,100.0,declining,Low Risk
STU00015,Tanya Rao,Information Technology,1,Female,Software Engineering,61,58,95.08,100.0,2,70,8.7,95.08,declining,Low Risk
STU00015,Tanya Rao,Information Technology,1,Female,Web Technologies,57,52,91.23,100.0,2,58,8.7,91.23,declining,Medium Risk
STU00015,Tanya Rao,Information Technology,1,Female,Cloud Computing,61,58,95.08,100.0,0,74,8.7,95.08,declining,Low Risk
STU00016,Sneha Nair,Information Technology,7,Female,Data Mining,61,46,75.41,64.63,8,63,15.9,75.41,improving,Low Risk
STU00016,Sneha Nair,Information Technology,7,Female,Cloud Computing,45,33,73.33,62.99,6,41,15.9,73.33,improving,Low Risk
STU00016,Sneha Nair,Information Technology,7,Female,Cyber Security,62,47,75.81,66.45,4,57,15.9,75.81,improving,Low Risk
STU00016,Sneha Nair,Information Technology,7,Female,Software Engineering,62,47,75.81,72.4,6,66,15.9,75.81,improving,Low Risk
STU00017,Diya Kumar,Information Technology,7,Female,Software Engineering,58,41,70.69,72.41,8,54,14.8,70.69,stable,Medium Risk
STU00017,Diya Kumar,Information Technology,7,Female,Data Mining,58,43,74.14,72.35,4,54,14.8,74.14,stable,Medium Risk
STU00017,Diya Kumar,Information Technology,7,Female,Cloud Computing,58,41,70.69,68.5,5,61,14.8,70.69,stable,Medium Risk
STU00017,Diya Kumar,Information Technology,7,Female,Cyber Security,48,36,75.0,75.06,6,61,14.8,75.0,stable,Low Risk
STU00017,Diya Kumar,Information Technology,7,Female,Web Technologies,49,38,77.55,78.14,5,50,14.8,77.55,stable,Low Risk
STU00018,Yash Verma,Civil,7,Male,Transportation Engg,63,35,55.56,57.93,11,46,2.4,55.56,declining,High Risk
STU00018,Yash Verma,Civil,7,Male,Geotechnical Engg,59,30,50.85,64.47,10,34,2.4,50.85,declining,High Risk
STU00018,Yash Verma,Civil,7,Male,Surveying,62,37,59.68,73.51,11,43,2.4,59.68,declining,High Risk
STU00018,Yash Verma,Civil,7,Male,Structural Analysis,64,33,51.56,57.34,14,50,2.4,51.56,declining,High Risk
STU00019,Dev Chatterjee,Electrical,4,Male,Control Systems,46,18,39.13,33.37,14,30,21.5,39.13,stable,High Risk
STU00019,Dev Chatterjee,Electrical,4,Male,Circuit Theory,56,22,39.29,38.48,17,37,21.5,39.29,stable,High Risk
STU00019,Dev Chatterjee,Electrical,4,Male,Power Systems,47,19,40.43,37.15,13,38,21.5,40.43,stable,High Risk
STU00019,Dev Chatterjee,Electrical,4,Male,Power Electronics,57,23,40.35,38.93,17,33,21.5,40.35,stable,High Risk
STU00020,Isha Patel,Electronics,8,Female,Microprocessors,63,63,100.0,100.0,1,80,4.1,100.0,declining,Low Risk
STU00020,Isha Patel,Electronics,8,Female,Communication Systems,57,54,94.74,100.0,1,80,4.1,94.74,declining,Low Risk
STU00020,Isha Patel,Electronics,8,Female,VLSI Design,60,55,91.67,89.97,1,76,4.1,91.67,declining,Low Risk
STU00020,Isha Patel,Electronics,8,Female,Signals & Systems,48,44,91.67,99.39,2,63,4.1,91.67,declining,Low Risk
STU00020,Isha Patel,Electronics,8,Female,Digital Electronics,45,44,97.78,100.0,1,68,4.1,97.78,declining,Low Risk
STU00021,Rohan Kapoor,Mechanical,1,Male,Fluid Mechanics,55,41,74.55,77.34,5,47,11.3,74.55,stable,Medium Risk
STU00021,Rohan Kapoor,Mechanical,1,Male,Manufacturing Tech,47,43,91.49,95.2,0,72,11.3,91.49,stable,Low Risk
STU00021,Rohan Kapoor,Mechanical,1,Male,Thermodynamics,57,49,85.96,84.73,5,69,11.3,85.96,stable,Low Risk
STU00021,Rohan Kapoor,Mechanical,1,Male,Machine Design,53,43,81.13,87.63,7,54,11.3,81.13,stable,Low Risk
STU00021,Rohan Kapoor,Mechanical,1,Male,Heat Transfer,48,39,81.25,78.24,7,80,11.3,81.25,stable,Low Risk
STU00022,Varun Reddy,Electronics,8,Male,Communication Systems,50,48,96.0,98.87,0,67,3.6,96.0,stable,Low Risk
STU00022,Varun Reddy,Electronics,8,Male,Microprocessors,52,51,98.08,95.38,2,74,3.6,98.08,stable,Low Risk
STU00022,Varun Reddy,Electronics,8,Male,Digital Electronics,53,47,88.68,88.54,2,81,3.6,88.68,stable,Low Risk
STU00022,Varun Reddy,Electronics,8,Male,Signals & Systems,59,54,91.53,89.57,2,72,3.6,91.53,stable,Low Risk
STU00023,Diya Desai,Information Technology,7,Female,Web Technologies,45,33,73.33,71.61,7,58,8.2,73.33,improving,Medium Risk
STU00023,Diya Desai,Information Technology,7,Female,Data Mining,48,35,72.92,60.32,5,48,8.2,72.92,improving,Low Risk
STU00023,Diya Desai,Information Technology,7,Female,Cyber Security,56,44,78.57,72.08,6,54,8.2,78.57,improving,Low Risk
STU00023,Diya Desai,Information Technology,7,Female,Cloud Computing,49,41,83.67,71.51,6,71,8.2,83.67,improving,Low Risk
STU00023,Diya Desai,Information Technology,7,Female,Software Engineering,57,45,78.95,69.15,6,66,8.2,78.95,improving,Low Risk
STU00024,Sai Pillai,Electronics,3,Male,Signals & Systems,45,18,40.0,32.27,14,32,7.7,40.0,stable,High Risk
STU00024,Sai Pillai,Electronics,3,Male,Digital Electronics,60,24,40.0,40.63,16,38,7.7,40.0,stable,High Risk
STU00024,Sai Pillai,Electronics,3,Male,VLSI Design,49,20,40.82,35.49,15,29,7.7,40.82,stable,High Risk
STU00024,Sai Pillai,Electronics,3,Male,Communication Systems,55,22,40.0,33.72,16,35,7.7,40.0,stable,High Risk
STU00025,Rahul Kapoor,Information Technology,4,Male,Cloud Computing,52,36,69.23,77.09,6,67,10.5,69.23,stable,Medium Risk
STU00025,Rahul Kapoor,Information Technology,4,Male,Cyber Security,57,39,68.42,72.81,6,52,10.5,68.42,stable,Medium Risk
STU00025,Rahul Kapoor,Information Technology,4,Male,Web Technologies,45,32,71.11,70.24,5,53,10.5,71.11,stable,Medium Risk
STU00025,Rahul Kapoor,Information Technology,4,Male,Software Engineering,46,33,71.74,72.9,5,53,10.5,71.74,stable,Medium Risk
STU00026,Shreya Nair,Information Technology,2,Female,Cloud Computing,52,40,76.92,73.03,7,49,3.4,76.92,improving,Low Risk
STU00026,Shreya Nair,Information Technology,2,Female,Cyber Security,46,31,67.39,62.37,9,49,3.4,67.39,improving,Medium Risk
STU00026,Shreya Nair,Information Technology,2,Female,Software Engineering,51,38,74.51,64.55,6,58,3.4,74.51,improving,Low Risk
STU00026,Shreya Nair,Information Technology,2,Female,Data Mining,47,35,74.47,64.87,4,65,3.4,74.47,improving,Low Risk
STU00027,Meera Rao,Computer Science,3,Female,AI & ML,57,48,84.21,86.18,6,71,0.7,84.21,stable,Low Risk
STU00027,Meera Rao,Computer Science,3,Female,Computer Networks,49,39,79.59,84.99,4,57,0.7,79.59,stable,Low Risk
STU00027,Meera Rao,Computer Science,3,Female,Operating Systems,52,45,86.54,87.47,4,56,0.7,86.54,stable,Low Risk
STU00027,Meera Rao,Computer Science,3,Female,Data Structures,60,52,86.67,85.0,3,61,0.7,86.67,stable,Low Risk
STU00027,Meera Rao,Computer Science,3,Female,DBMS,50,43,86.0,82.73,4,60,0.7,86.0,stable,Low Risk
STU00028,Sai Sharma,Information Technology,7,Male,Cloud Computing,59,42,71.19,74.96,6,59,20.8,71.19,stable,Medium Risk
STU00028,Sai Sharma,Information Technology,7,Male,Software Engineering,57,41,71.93,68.35,9,54,20.8,71.93,stable,Medium Risk
STU00028,Sai Sharma,Information Technology,7,Male,Cyber Security,54,38,70.37,75.89,6,50,20.8,70.37,stable,Medium Risk
STU00028,Sai Sharma,Information Technology,7,Male,Data Mining,60,43,71.67,65.43,5,55,20.8,71.67,stable,Medium Risk
STU00029,Karthik Iyer,Electronics,3,Male,Microprocessors,57,51,89.47,91.79,2,80,4.9,89.47,stable,Low Risk
STU00029,Karthik Iyer,Electronics,3,Male,Signals & Systems,56,47,83.93,84.84,6,62,4.9,83.93,stable,Low Risk
STU00029,Karthik Iyer,Electronics,3,Male,Communication Systems,63,53,84.13,85.02,2,70,4.9,84.13,stable,Low Risk
STU00029,Karthik Iyer,Electronics,3,Male,Digital Electronics,64,55,85.94,85.29,5,68,4.9,85.94,stable,Low Risk
STU00030,Varun Patel,Electrical,7,Male,Power Electronics,62,58,93.55,94.56,0,62,10.9,93.55,stable,Low Risk
STU00030,Varun Patel,Electrical,7,Male,Control Systems,53,53,100.0,100.0,0,82,10.9,100.0,stable,Low Risk
STU00030,Varun Patel,Electrical,7,Male,Electrical Machines,46,42,91.3,91.22,2,81,10.9,91.3,stable,Low Risk
STU00030,Varun Patel,Electrical,7,Male,Power Systems,60,60,100.0,97.81,1,77,10.9,100.0,stable,Low Risk
STU00030,Varun Patel,Electrical,7,Male,Circuit Theory,56,56,100.0,100.0,1,70,10.9,100.0,stable,Low Risk
STU00031,Radhika Joshi,Computer Science,3,Female,DBMS,63,50,79.37,71.48,7,57,11.1,79.37,improving,Low Risk
STU00031,Radhika Joshi,Computer Science,3,Female,Computer Networks,51,41,80.39,65.97,4,77,11.1,80.39,improving,Low Risk
STU00031,Radhika Joshi,Computer Science,3,Female,Data Structures,45,37,82.22,69.46,2,70,11.1,82.22,improving,Low Risk
STU00031,Radhika Joshi,Computer Science,3,Female,AI & ML,59,51,86.44,86.87,1,68,11.1,86.44,improving,Low Risk
STU00031,Radhika Joshi,Computer Science,3,Female,Operating Systems,58,45,77.59,72.1,6,46,11.1,77.59,improving,Low Risk
STU00032,Meera Desai,Electrical,7,Female,Electrical Machines,54,48,88.89,83.7,1,57,2.9,88.89,stable,Low Risk
STU00032,Meera Desai,Electrical,7,Female,Control Systems,58,48,82.76,88.38,3,77,2.9,82.76,stable,Low Risk
STU00032,Meera Desai,Electrical,7,Female,Circuit Theory,45,37,82.22,81.55,5,54,2.9,82.22,stable,Low Risk
STU00032,Meera Desai,Electrical,7,Female,Power Electronics,49,39,79.59,80.89,5,58,2.9,79.59,stable,Low Risk
STU00033,Riya Reddy,Information Technology,1,Female,Cloud Computing,54,45,83.33,84.53,4,74,24.6,83.33,stable,Low Risk
STU00033,Riya Reddy,Information Technology,1,Female,Software Engineering,52,46,88.46,87.15,5,69,24.6,88.46,stable,Low Risk
STU00033,Riya Reddy,Information Technology,1,Female,Web Technologies,55,47,85.45,93.6,2,62,24.6,85.45,stable,Low Risk
STU00033,Riya Reddy,Information Technology,1,Female,Cyber Security,53,49,92.45,90.96,4,62,24.6,92.45,stable,Low Risk
STU00033,Riya Reddy,Information Technology,1,Female,Data Mining,64,57,89.06,93.32,5,69,24.6,89.06,stable,Low Risk
STU00034,Radhika Reddy,Computer Science,3,Female,AI & ML,54,49,90.74,82.36,2,70,9.0,90.74,improving,Low Risk
STU00034,Radhika Reddy,Computer Science,3,Female,Computer Networks,48,40,83.33,73.07,4,52,9.0,83.33,improving,Low Risk
STU00034,Radhika Reddy,Computer Science,3,Female,Operating Systems,62,53,85.48,82.1,6,67,9.0,85.48,improving,Low Risk
STU00034,Radhika Reddy,Computer Science,3,Female,Data Structures,55,45,81.82,74.58,6,70,9.0,81.82,improving,Low Risk
STU00035,Diya Rao,Civil,4,Female,Structural Analysis,59,44,74.58,73.75,7,57,2.4,74.58,stable,Medium Risk
STU00035,Diya Rao,Civil,4,Female,Concrete Technology,45,34,75.56,84.08,7,62,2.4,75.56,stable,Low Risk
STU00035,Diya Rao,Civil,4,Female,Surveying,54,35,64.81,71.57,8,59,2.4,64.81,stable,High Risk
STU00035,Diya Rao,Civil,4,Female,Geotechnical Engg,51,37,72.55,71.77,7,64,2.4,72.55,stable,Medium Risk
STU00036,Aryan Nair,Electrical,4,Male,Electrical Machines,57,48,84.21,85.37,3,65,12.8,84.21,stable,Low Risk
STU00036,Aryan Nair,Electrical,4,Male,Control Systems,59,51,86.44,92.68,1,68,12.8,86.44,stable,Low Risk
STU00036,Aryan Nair,Electrical,4,Male,Circuit Theory,46,39,84.78,81.22,3,57,12.8,84.78,stable,Low Risk
STU00036,Aryan Nair,Electrical,4,Male,Power Electronics,49,41,83.67,83.02,4,58,12.8,83.67,stable,Low Risk
STU00036,Aryan Nair,Electrical,4,Male,Power Systems,53,43,81.13,75.81,5,66,12.8,81.13,stable,Low Risk
STU00037,Sai Iyer,Electronics,8,Male,VLSI Design,64,62,96.88,92.64,0,76,8.0,96.88,stable,Low Risk
STU00037,Sai Iyer,Electronics,8,Male,Signals & Systems,47,46,97.87,98.08,3,73,8.0,97.87,stable,Low Risk
STU00037,Sai Iyer,Electronics,8,Male,Communication Systems,51,45,88.24,81.46,5,56,8.0,88.24,stable,Low Risk
STU00037,Sai Iyer,Electronics,8,Male,Digital Electronics,58,55,94.83,87.73,1,61,8.0,94.83,stable,Low Risk
STU00038,Rahul Rao,Mechanical,5,Male,Manufacturing Tech,63,50,79.37,82.55,3,60,8.7,79.37,stable,Low Risk
STU00038,Rahul Rao,Mechanical,5,Male,Machine Design,57,43,75.44,74.1,4,55,8.7,75.44,stable,Low Risk
STU00038,Rahul Rao,Mechanical,5,Male,Thermodynamics,46,38,82.61,88.88,3,64,8.7,82.61,stable,Low Risk
STU00038,Rahul Rao,Mechanical,5,Male,Heat Transfer,59,44,74.58,77.25,6,59,8.7,74.58,stable,Medium Risk
STU00038,Rahul Rao,Mechanical,5,Male,Fluid Mechanics,52,37,71.15,72.02,5,54,8.7,71.15,stable,Medium Risk
STU00039,Meera Nair,Computer Science,1,Female,AI & ML,46,32,69.57,75.33,7,49,1.5,69.57,stable,Medium Risk
STU00039,Meera Nair,Computer Science,1,Female,Operating Systems,55,48,87.27,81.36,4,77,1.5,87.27,stable,Low Risk
STU00039,Meera Nair,Computer Science,1,Female,Computer Networks,55,41,74.55,75.43,4,47,1.5,74.55,stable,Medium Risk
STU00039,Meera Nair,Computer Science,1,Female,DBMS,63,49,77.78,77.86,8,52,1.5,77.78,stable,Low Risk
STU00040,Nikhil Patel,Electronics,5,Male,Communication Systems,46,42,91.3,88.11,2,73,7.9,91.3,stable,Low Risk
STU00040,Nikhil Patel,Electronics,5,Male,Digital Electronics,64,59,92.19,91.21,2,75,7.9,92.19,stable,Low Risk
STU00040,Nikhil Patel,Electronics,5,Male,Microprocessors,59,54,91.53,94.6,3,69,7.9,91.53,stable,Low Risk
STU00040,Nikhil Patel,Electronics,5,Male,VLSI Design,59,53,89.83,92.45,2,73,7.9,89.83,stable,Low Risk
STU00041,Nisha Menon,Electrical,2,Female,Power Electronics,54,47,87.04,75.51,2,71,25.3,87.04,improving,Low Risk
STU00041,Nisha Menon,Electrical,2,Female,Electrical Machines,46,46,100.0,83.24,0,75,25.3,100.0,improving,Low Risk
STU00041,Nisha Menon,Electrical,2,Female,Circuit Theory,61,49,80.33,71.22,3,59,25.3,80.33,improving,Low Risk
STU00041,Nisha Menon,Electrical,2,Female,Control Systems,62,52,83.87,75.37,5,59,25.3,83.87,improving,Low Risk
STU00042,Rohan Chatterjee,Information Technology,2,Male,Web Technologies,60,47,78.33,77.1,5,62,21.8,78.33,stable,Low Risk
STU00042,Rohan Chatterjee,Information Technology,2,Male,Cyber Security,50,46,92.0,100.0,3,76,21.8,92.0,stable,Low Risk
STU00042,Rohan Chatterjee,Information Technology,2,Male,Software Engineering,47,39,82.98,88.12,6,66,21.8,82.98,stable,Low Risk
STU00042,Rohan Chatterjee,Information Technology,2,Male,Data Mining,49,48,97.96,93.63,0,66,21.8,97.96,stable,Low Risk
STU00043,Neha Joshi,Civil,6,Female,Concrete Technology,61,54,88.52,89.96,4,71,13.3,88.52,stable,Low Risk
STU00043,Neha Joshi,Civil,6,Female,Structural Analysis,47,35,74.47,75.1,8,65,13.3,74.47,stable,Medium Risk
STU00043,Neha Joshi,Civil,6,Female,Transportation Engg,61,55,90.16,87.67,4,67,13.3,90.16,stable,Low Risk
STU00043,Neha Joshi,Civil,6,Female,Geotechnical Engg,51,44,86.27,83.98,5,66,13.3,86.27,stable,Low Risk
STU00043,Neha Joshi,Civil,6,Female,Surveying,52,45,86.54,88.69,4,64,13.3,86.54,stable,Low Risk
STU00044,Vihaan Gupta,Civil,1,Male,Surveying,59,42,71.19,66.86,5,63,18.7,71.19,improving,Low Risk
STU00044,Vihaan Gupta,Civil,1,Male,Structural Analysis,56,32,57.14,44.03,12,41,18.7,57.14,improving,High Risk
STU00044,Vihaan Gupta,Civil,1,Male,Transportation Engg,64,33,51.56,46.28,10,43,18.7,51.56,improving,Medium Risk
STU00044,Vihaan Gupta,Civil,1,Male,Geotechnical Engg,61,39,63.93,55.96,11,50,18.7,63.93,improving,Medium Risk
STU00044,Vihaan Gupta,Civil,1,Male,Concrete Technology,55,34,61.82,57.06,8,42,18.7,61.82,improving,Medium Risk
STU00045,Aryan Chatterjee,Computer Science,5,Male,Operating Systems,57,33,57.89,57.6,12,51,23.1,57.89,stable,High Risk
STU00045,Aryan Chatterjee,Computer Science,5,Male,Data Structures,53,36,67.92,69.43,7,56,23.1,67.92,stable,Medium Risk
STU00045,Aryan Chatterjee,Computer Science,5,Male,Computer Networks,50,36,72.0,66.31,5,49,23.1,72.0,stable,Medium Risk
STU00045,Aryan Chatterjee,Computer Science,5,Male,DBMS,61,42,68.85,70.45,9,55,23.1,68.85,stable,Medium Risk
STU00045,Aryan Chatterjee,Computer Science,5,Male,AI & ML,60,44,73.33,71.37,5,52,23.1,73.33,stable,Medium Risk
STU00046,Riya Kapoor,Information Technology,1,Female,Cyber Security,54,36,66.67,76.96,7,61,12.1,66.67,declining,High Risk
STU00046,Riya Kapoor,Information Technology,1,Female,Software Engineering,58,35,60.34,70.48,11,42,12.1,60.34,declining,High Risk
STU00046,Riya Kapoor,Information Technology,1,Female,Data Mining,61,40,65.57,66.81,11,59,12.1,65.57,declining,Medium Risk
STU00046,Riya Kapoor,Information Technology,1,Female,Cloud Computing,58,36,62.07,71.68,10,48,12.1,62.07,declining,High Risk
STU00047,Dev Menon,Computer Science,5,Male,Operating Systems,55,47,85.45,96.35,5,67,23.5,85.45,declining,Medium Risk
STU00047,Dev Menon,Computer Science,5,Male,AI & ML,63,54,85.71,91.02,3,60,23.5,85.71,declining,Low Risk
STU00047,Dev Menon,Computer Science,5,Male,Data Structures,63,54,85.71,87.22,2,73,23.5,85.71,declining,Low Risk
STU00047,Dev Menon,Computer Science,5,Male,Computer Networks,51,47,92.16,100.0,4,65,23.5,92.16,declining,Low Risk
STU00047,Dev Menon,Computer Science,5,Male,DBMS,52,51,98.08,100.0,1,88,23.5,98.08,declining,Low Risk
STU00048,Yash Gupta,Computer Science,3,Male,AI & ML,55,49,89.09,95.63,3,65,3.0,89.09,declining,Low Risk
STU00048,Yash Gupta,Computer Science,3,Male,DBMS,53,53,100.0,100.0,1,70,3.0,100.0,declining,Low Risk
STU00048,Yash Gupta,Computer Science,3,Male,Data Structures,57,52,91.23,96.28,2,78,3.0,91.23,declining,Low Risk
STU00048,Yash Gupta,Computer Science,3,Male,Computer Networks,52,45,86.54,93.55,1,62,3.0,86.54,declining,Low Risk
STU00049,Arjun Patel,Mechanical,1,Male,Manufacturing Tech,51,41,80.39,85.2,3,79,3.9,80.39,stable,Low Risk
STU00049,Arjun Patel,Mechanical,1,Male,Thermodynamics,50,39,78.0,78.86,8,52,3.9,78.0,stable,Low Risk
STU00049,Arjun Patel,Mechanical,1,Male,Heat Transfer,52,45,86.54,91.31,1,62,3.9,86.54,stable,Low Risk
