Student_ID,Name,Department,Semester,Gender,Distance_KM,Overall_Attendance_Percentage,Trend,Num_Subjects
STU00189,Pooja Joshi,Electrical,2,Female,24.1,77.51,improving,5
STU00190,Riya Gupta,Information Technology,8,Female,4.6,45.11,declining,5
STU00191,Aarav Pillai,Computer Science,4,Male,21.1,83.81,stable,4
STU00192,Manav Nair,Information Technology,1,Male,13.0,69.56,stable,4
STU00193,Aarav Verma,Computer Science,8,Male,8.4,46.14,stable,5
STU00194,Vihaan Chatterjee,Computer Science,6,Male,12.0,83.31,stable,4
STU00195,Yash Iyer,Information Technology,4,Male,9.7,73.88,stable,4
STU00196,Pooja Iyer,Civil,1,Female,18.0,64.81,stable,4
STU00197,Meera Singh,Information Technology,3,Female,40.0,56.56,stable,4
STU00198,Varun Chatterjee,Civil,2,Male,12.9,85.86,declining,4
STU00199,Ananya Nair,Electrical,1,Female,23.0,77.47,stable,5
STU00200,Kabir Gupta,Electrical,4,Male,2.8,95.39,improving,4
STU00201,Manav Kapoor,Electronics,5,Male,27.3,62.17,declining,4
STU00202,Ishaan Desai,Electrical,6,Male,22.6,76.34,declining,5
STU00203,Sneha Kumar,Mechanical,6,Female,42.3,68.14,stable,5
STU00204,Riya Iyer,Electronics,5,Female,5.5,80.81,stable,4
STU00205,Yash Sharma,Civil,8,Male,8.3,50.87,stable,4
STU00206,Priya Nair,Civil,2,Female,8.3,92.66,stable,4
STU00207,Isha Iyer,Mechanical,7,Female,18.2,78.02,declining,4
STU00208,Ananya Patel,Computer Science,7,Female,3.5,81.9,declining,5
STU00209,Manav Verma,Computer Science,1,Male,8.7,67.93,declining,5
STU00210,Isha Kumar,Computer Science,5,Female,4.7,77.7,stable,5
STU00211,Yash Joshi,Electronics,8,Male,20.9,80.62,stable,4
STU00212,Shreya Singh,Computer Science,8,Female,30.6,76.36,stable,5
STU00213,Aditya Nair,Information Technology,6,Male,26.8,89.02,stable,4
STU00214,Dev Kapoor,Electrical,4,Male,6.5,49.45,declining,4
STU00215,Aarav Joshi,Electronics,3,Male,10.9,63.63,declining,5
STU00216,Vihaan Joshi,Electronics,1,Male,17.0,76.82,stable,4
STU00217,Dev Iyer,Computer Science,6,Male,4.1,96.38,improving,4
STU00218,Riya Verma,Information Technology,4,Female,6.2,73.65,stable,4
STU00219,Nikhil Pillai,Electronics,3,Male,15.7,77.62,stable,5
STU00220,Diya Menon,Information Technology,5,Female,10.9,82.07,improving,5
STU00221,Nisha Gupta,Mechanical,2,Female,7.2,79.33,improving,4
STU00222,Priya Rao,Electronics,6,Female,17.7,56.38,stable,5
STU00223,Tanya Patel,Electronics,2,Female,10.0,67.18,stable,5
STU00224,Ishaan Desai,Electronics,4,Male,17.6,82.42,stable,4
STU00225,Tanya Gupta,Information Technology,7,Female,5.2,90.89,declining,4
STU00226,Nisha Pillai,Information Technology,4,Female,7.9,63.56,stable,5
STU00227,Sneha Sharma,Mechanical,3,Female,5.6,62.18,stable,5
STU00228,Nikhil Kumar,Information Technology,6,Male,27.4,78.7,declining,5
STU00229,Rohan Patel,Electronics,2,Male,42.3,67.64,declining,5
STU00230,Divya Verma,Computer Science,5,Female,20.7,83.8,stable,5
STU00231,Varun Iyer,Electrical,7,Male,6.4,55.55,declining,4
STU00232,Varun Menon,Electronics,4,Male,9.2,92.04,declining,5
STU00233,Ananya Desai,Electronics,6,Female,11.6,73.02,stable,4
STU00234,Rohan Singh,Mechanical,1,Male,6.8,77.51,stable,4
STU00235,Priya Pillai,Information Technology,5,Female,18.2,71.9,improving,4
STU00236,Pooja Kapoor,Electronics,3,Female,6.5,73.07,improving,4
STU00237,Riya Rao,Computer Science,1,Female,24.2,78.39,stable,5
STU00238,Rahul Kapoor,Computer Science,7,Male,4.9,68.81,stable,5
STU00239,Dev Sharma,Electronics,3,Male,14.9,63.85,stable,4
STU00240,Neha Verma,Information Technology,6,Female,23.4,75.67,improving,5
STU00241,Kabir Chatterjee,Electronics,3,Male,31.0,72.39,declining,5
STU00242,Kabir Kapoor,Mechanical,2,Male,14.9,78.96,declining,4
STU00243,Sai Nair,Information Technology,7,Male,1.6,75.09,stable,4
STU00244,Ishaan Kumar,Electrical,1,Male,7.5,90.33,improving,4
STU00245,Shreya Singh,Information Technology,3,Female,22.0,42.48,declining,4
STU00246,Yash Chatterjee,Computer Science,1,Male,20.1,69.04,improving,4
STU00247,Shreya Singh,Mechanical,1,Female,9.5,55.57,stable,5
STU00248,Kabir Menon,Mechanical,5,Male,18.8,76.82,stable,5
STU00249,Diya Reddy,Mechanical,7,Female,2.6,65.77,stable,5
STU00250,Yash Menon,Electronics,3,Male,13.4,70.31,declining,5
STU00251,Vihaan Patel,Electrical,3,Male,7.2,43.61,stable,4
STU00252,Nisha Chatterjee,Mechanical,3,Female,6.6,87.27,improving,5
STU00253,Kabir Rao,Electrical,4,Male,14.6,67.94,declining,5
STU00254,Karthik Nair,Mechanical,2,Male,17.3,81.28,declining,4
STU00255,Isha Nair,Information Technology,4,Female,1.4,84.17,stable,5
STU00256,Nisha Joshi,Civil,2,Female,8.3,49.02,stable,4
STU00257,Divya Chatterjee,Electrical,8,Female,6.5,95.57,improving,4
STU00258,Manav Verma,Electrical,2,Male,8.2,70.66,declining,4
STU00259,Radhika Verma,Computer Science,8,Female,5.7,62.09,stable,4
STU00260,Sai Singh,Mechanical,3,Male,4.5,81.7,stable,5
STU00261,Meera Iyer,Mechanical,3,Female,2.2,42.51,stable,5
STU00262,Kavya Chatterjee,Electronics,6,Female,9.1,76.66,improving,4
STU00263,Meera Gupta,Mechanical,3,Female,3.0,63.15,declining,4
STU00264,Yash Iyer,Information Technology,1,Male,19.7,60.93,declining,5
STU00265,Radhika Pillai,Electrical,5,Female,2.6,85.93,declining,4
STU00266,Anika Iyer,Computer Science,2,Female,2.9,84.82,declining,5
STU00267,Rohan Gupta,Computer Science,8,Male,12.2,70.1,declining,5
STU00268,Nikhil Iyer,Mechanical,2,Male,24.1,79.85,stable,5
STU00269,Sneha Verma,Mechanical,3,Female,13.0,89.71,declining,5
STU00270,Karthik Sharma,Information Technology,7,Male,2.2,41.34,stable,4
STU00271,Pooja Sharma,Computer Science,7,Female,13.0,72.55,stable,4
STU00272,Kavya Iyer,Computer Science,7,Female,19.0,87.87,improving,5
STU00273,Divya Sharma,Mechanical,1,Female,3.3,46.09,stable,5
STU00274,Aditya Singh,Mechanical,6,Male,15.9,50.03,improving,5
STU00275,Karthik Patel,Information Technology,5,Male,13.9,70.03,stable,4
STU00276,Aryan Menon,Computer Science,2,Male,1.9,76.18,improving,5
STU00277,Dev Reddy,Computer Science,4,Male,12.9,69.81,improving,4
STU00278,Nisha Kumar,Information Technology,2,Female,22.3,53.09,declining,5
STU00279,Pooja Pillai,Electrical,7,Female,8.0,40.81,declining,5
STU00280,Aryan Chatterjee,Electrical,8,Male,4.5,78.52,improving,5
STU00281,Karthik Sharma,Electrical,5,Male,14.7,90.39,stable,4
STU00282,Sneha Iyer,Electrical,1,Female,3.9,68.42,declining,5
STU00283,Radhika Nair,Computer Science,7,Female,3.8,80.99,stable,5
STU00284,Arjun Nair,Electrical,3,Male,16.1,78.95,declining,4
STU00285,Rahul Singh,Electronics,1,Male,9.2,64.16,stable,4
STU00286,Nisha Menon,Computer Science,3,Female,27.4,83.94,improving,4
STU00287,Isha Sharma,Civil,4,Female,8.0,61.82,stable,4
STU00288,Ananya Reddy,Computer Science,5,Female,17.1,64.12,stable,5
STU00289,Radhika Kumar,Electrical,2,Female,4.4,67.02,stable,4
STU00290,Yash Verma,Mechanical,2,Male,31.1,89.55,improving,4
STU00291,Diya Chatterjee,Electrical,8,Female,7.7,92.87,stable,4
STU00292,Vihaan Sharma,Civil,6,Male,8.2,69.04,stable,4
STU00293,Aditya Pillai,Civil,6,Male,8.1,79.97,stable,5
STU00294,Pooja Verma,Electronics,3,Female,7.7,64.83,improving,5
STU00295,Divya Chatterjee,Electronics,4,Female,2.8,92.62,improving,4
STU00296,Aryan Pillai,Information Technology,7,Male,3.7,87.37,stable,4
STU00297,Arjun Desai,Computer Science,2,Male,2.9,59.68,improving,5
STU00298,Ishaan Kapoor,Information Technology,1,Male,2.6,77.59,stable,4
STU00299,Anika Kapoor,Mechanical,8,Female,2.0,72.7,improving,5
STU00300,Rahul Patel,Information Technology,4,Male,11.8,65.95,stable,4
STU00301,Nikhil Kapoor,Civil,6,Male,17.1,91.17,stable,4
STU00302,Varun Iyer,Mechanical,6,Male,16.5,81.88,stable,5
STU00303,Divya Kumar,Electrical,2,Female,19.7,85.83,stable,4
STU00304,Ishaan Kumar,Electronics,8,Male,2.1,86.86,stable,5
STU00305,Manav Chatterjee,Mechanical,4,Male,5.0,86.64,stable,5
STU00306,Divya Rao,Mechanical,5,Female,8.2,67.95,improving,4
STU00307,Shreya Menon,Computer Science,5,Female,13.1,69.31,stable,5
STU00308,Neha Patel,Electronics,5,Female,4.6,76.5,declining,5
STU00309,Arjun Gupta,Mechanical,8,Male,9.9,85.89,stable,4
STU00310,Ananya Iyer,Computer Science,7,Female,18.6,81.77,stable,4
STU00311,Aditya Rao,Information Technology,2,Male,20.7,71.6,declining,4
STU00312,Priya Menon,Electronics,4,Female,3.2,61.14,stable,4
STU00313,Anika Nair,Mechanical,5,Female,1.7,61.32,stable,5
STU00314,Meera Reddy,Mechanical,2,Female,11.4,71.46,improving,4
STU00315,Tanya Reddy,Computer Science,1,Female,5.0,72.19,improving,5
STU00316,Varun Reddy,Computer Science,6,Male,7.8,57.27,stable,5
STU00317,Aditya Menon,Electronics,6,Male,7.3,93.65,stable,5
STU00318,Rohan Patel,Mechanical,7,Male,13.1,92.72,improving,5
STU00319,Kavya Gupta,Electronics,5,Female,20.7,91.92,stable,5
STU00320,Aryan Desai,Electrical,7,Male,10.6,95.3,stable,4
STU00321,Rahul Pillai,Information Technology,8,Male,23.5,76.25,improving,4
STU00322,Dev Rao,Electronics,6,Male,18.6,59.16,improving,5
STU00323,Aryan Reddy,Electronics,7,Male,28.6,76.66,stable,5
STU00324,Sneha Kumar,Electronics,1,Female,25.3,47.74,improving,5
STU00325,Manav Chatterjee,Electrical,8,Male,9.8,84.34,declining,4
STU00326,Sneha Patel,Civil,5,Female,26.9,40.17,stable,4
STU00327,Kavya Kapoor,Computer Science,4,Female,3.0,71.32,stable,4
STU00328,Karthik Kumar,Information Technology,2,Male,6.8,51.46,declining,4
STU00329,Shreya Patel,Electrical,3,Female,8.1,43.84,improving,5
STU00330,Diya Gupta,Information Technology,5,Female,0.6,78.74,improving,5
STU00331,Rohan Joshi,Computer Science,6,Male,2.3,39.82,stable,5
STU00332,Aarav Nair,Electrical,7,Male,4.7,71.97,stable,4
STU00333,Nikhil Joshi,Information Technology,4,Male,13.5,66.96,declining,4
STU00334,Tanya Chatterjee,Electronics,1,Female,12.9,84.11,improving,4
STU00335,Radhika Iyer,Information Technology,3,Female,18.4,82.34,improving,4
STU00336,Manav Singh,Mechanical,7,Male,15.5,71.82,stable,5
STU00337,Neha Verma,Mechanical,2,Female,6.8,90.48,improving,5
STU00338,Anika Joshi,Electrical,5,Female,8.8,63.08,stable,5
STU00339,Anika Verma,Electrical,1,Female,8.6,59.38,stable,5
STU00340,Karthik Pillai,Electrical,2,Male,12.8,75.99,stable,4
STU00341,Varun Iyer,Mechanical,6,Male,13.5,91.09,stable,5
STU00342,Nisha Desai,Computer Science,5,Female,7.8,73.43,declining,5
STU00343,Rohan Kapoor,Information Technology,4,Male,11.8,87.18,stable,4
STU00344,Riya Singh,Information Technology,4,Female,4.2,54.02,improving,4
STU00345,Sai Kapoor,Mechanical,6,Male,17.0,66.63,declining,5
STU00346,Manav Kapoor,Civil,5,Male,3.8,82.97,improving,4
STU00347,Radhika Desai,Electronics,5,Female,2.3,59.4,improving,4
STU00348,Vihaan Gupta,Information Technology,6,Male,11.1,86.43,improving,5
STU00349,Varun Singh,Mechanical,4,Male,7.8,70.68,declining,4
STU00350,Aarav Verma,Electrical,2,Male,12.6,70.69,stable,4
STU00351,Tanya Singh,Mechanical,6,Female,14.1,71.75,stable,5
STU00352,Rohan Iyer,Electronics,7,Male,7.5,73.47,stable,4
STU00353,Rohan Singh,Civil,3,Male,7.0,88.46,stable,4
STU00354,Aarav Singh,Information Technology,1,Male,10.5,55.86,improving,4
STU00355,Sai Rao,Computer Science,2,Male,3.3,77.29,stable,4
STU00356,Neha Kumar,Information Technology,4,Female,11.4,85.85,stable,4
STU00357,Varun Kapoor,Civil,3,Male,7.5,77.88,improving,4
STU00358,Radhika Kapoor,Civil,4,Female,11.2,71.45,stable,5
STU00359,Tanya Rao,Mechanical,4,Female,3.0,83.45,stable,4
STU00360,Kavya Singh,Electronics,5,Female,10.1,63.62,improving,5
STU00361,Rohan Pillai,Electrical,8,Male,4.6,66.66,stable,4
STU00362,Dev Verma,Computer Science,4,Male,7.7,74.77,stable,4
STU00363,Shreya Verma,Electrical,1,Female,9.6,80.5,stable,4
STU00364,Pooja Verma,Electronics,8,Female,14.4,88.31,stable,5
STU00365,Sneha Patel,Electrical,2,Female,13.1,73.73,stable,4
STU00366,Varun Menon,Civil,8,Male,2.9,81.57,stable,5
STU00367,Radhika Kapoor,Electronics,8,Female,9.3,39.78,improving,5
STU00368,Arjun Patel,Civil,8,Male,2.8,79.32,stable,4
STU00369,Varun Reddy,Civil,7,Male,6.8,80.16,declining,5
STU00370,Pooja Pillai,Electrical,7,Female,1.1,79.19,declining,5
STU00371,Dev Kapoor,Civil,2,Male,10.2,59.38,stable,4
STU00372,Rahul Gupta,Computer Science,4,Male,16.1,72.14,stable,4
STU00373,Aryan Reddy,Electronics,1,Male,6.9,84.63,improving,5
STU00374,Karthik Reddy,Electrical,6,Male,22.2,71.28,stable,4
STU00375,Ishaan Iyer,Electronics,7,Male,10.2,87.7,declining,5
STU00376,Manav Iyer,Civil,1,Male,10.8,65.23,improving,5
